Model_name,chunk_size,chunk_overlap,quality_score,retrieval_score,top_k
paraphrase-MiniLM-L6-v2,1000,100,,0.6074074074074074,10
paraphrase-MiniLM-L6-v2,1000,100,,0.508641975308642,5
paraphrase-MiniLM-L6-v2,1000,100,,0.671604938271605,15
paraphrase-MiniLM-L6-v2,1000,100,,0.6987654320987654,20
paraphrase-MiniLM-L6-v2,500,100,,0.7185185185185186,20
paraphrase-MiniLM-L6-v2,500,100,,0.5209876543209877,5
paraphrase-MiniLM-L6-v2,500,100,,0.6395061728395062,10
paraphrase-MiniLM-L6-v2,500,100,,0.6864197530864198,15
paraphrase-MiniLM-L6-v2,300,50,,0.4962962962962963,5
paraphrase-MiniLM-L6-v2,300,50,,0.6148148148148148,10
paraphrase-MiniLM-L6-v2,300,50,,0.6641975308641975,15
paraphrase-MiniLM-L6-v2,300,50,,0.7086419753086419,20
paraphrase-MiniLM-L6-v2,750,50,,0.5012345679012346,5
paraphrase-MiniLM-L6-v2,750,50,,0.6049382716049383,10
paraphrase-MiniLM-L6-v2,750,50,,0.6567901234567901,15
paraphrase-MiniLM-L6-v2,750,50,,0.6962962962962963,20
sentence-transformers/all-MiniLM-L6-v2,750,50,,0.6395061728395062,5
sentence-transformers/all-MiniLM-L6-v2,750,50,,0.7358024691358025,10
sentence-transformers/all-MiniLM-L6-v2,750,50,,0.7802469135802469,15
sentence-transformers/all-MiniLM-L6-v2,750,50,,0.8222222222222222,20
sentence-transformers/all-MiniLM-L6-v2,1000,100,,0.6271604938271605,5
sentence-transformers/all-MiniLM-L6-v2,1000,100,,0.7061728395061728,10
sentence-transformers/all-MiniLM-L6-v2,1000,100,,0.7703703703703704,15
sentence-transformers/all-MiniLM-L6-v2,1000,100,,0.8098765432098766,20
sentence-transformers/all-MiniLM-L6-v2,300,50,,0.6172839506172839,5
sentence-transformers/all-MiniLM-L6-v2,300,50,,0.7012345679012346,10
sentence-transformers/all-MiniLM-L6-v2,300,50,,0.7506172839506173,15
sentence-transformers/all-MiniLM-L6-v2,300,50,,0.7777777777777778,20
sentence-transformers/all-MiniLM-L6-v2,500,100,,0.6493827160493827,5
sentence-transformers/all-MiniLM-L6-v2,500,100,,0.7234567901234568,10
sentence-transformers/all-MiniLM-L6-v2,500,100,,0.7728395061728395,15
sentence-transformers/all-MiniLM-L6-v2,500,100,,0.8197530864197531,20
albert-base-v2,500,100,,0.06419753086419754,5
albert-base-v2,500,100,,0.08641975308641975,10
albert-base-v2,500,100,,0.1037037037037037,15
albert-base-v2,500,100,,0.12098765432098765,20
thenlper/gte-large,1000,100,,0.7061728395061728,5
thenlper/gte-large,1000,100,,0.7950617283950617,10
thenlper/gte-large,1000,100,,0.8345679012345679,15
thenlper/gte-large,1000,100,,0.8567901234567902,20
thenlper/gte-large,500,100,,0.7160493827160493,5
thenlper/gte-large,500,100,,0.8,10
thenlper/gte-large,500,100,,0.8419753086419753,15
thenlper/gte-large,500,100,,0.8716049382716049,20
thenlper/gte-large,300,50,,0.6839506172839506,5
thenlper/gte-large,300,50,,0.7679012345679013,10
thenlper/gte-large,300,50,,0.8197530864197531,15
thenlper/gte-large,300,50,,0.8444444444444444,20
